place_name,place_url,reviews_count,scraped_on
Jawaharlal Nehru Planetarium,"https://www.google.com/maps/place/Jawaharlal+Nehru+Planetarium/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae166bedda581f:0x757d1ae9f63c2835!8m2!3d12.9848665!4d77.5896341!9m1!1b1!16s%2Fg%2F1jky_rhrc?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:23:34
National Military Memorial Park,"https://www.google.com/maps/place/National+Military+Memorial+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae166bdfbb883f:0x30631961942d67ff!8m2!3d12.9854791!4d77.5904847!9m1!1b1!16s%2Fg%2F11bwkgxfdz?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:24:13
Rangoli Metro Art Center,"https://www.google.com/maps/place/Rangoli+Metro+Art+Center/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae167cf433ca2f:0x9fd69425e46638ce!8m2!3d12.9763051!4d77.6037902!9m1!1b1!16s%2Fm%2F0y7v_sp?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:24:59
National Gallery of Modern Art,"https://www.google.com/maps/place/National+Gallery+of+Modern+Art+(Bengaluru)/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae16816c3294a9:0x69d86e822f4b337b!8m2!3d12.9894116!4d77.5880553!9m1!1b1!16s%2Fm%2F0r4khly?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:25:43
Karnataka Chitrakala Parishath,"https://www.google.com/maps/place/Karnataka+Chitrakala+Parishath/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae163e20611ccd:0x3a4b9a2dc1566f31!8m2!3d12.9893213!4d77.5807437!9m1!1b1!16s%2Fg%2F11gbst_m1m?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:26:42
Pyramid Valley International,"https://www.google.com/maps/place/Pyramid+Valley+International/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae43de3189d48f:0x78ce1aac865564d7!8m2!3d12.6972067!4d77.4950206!9m1!1b1!16s%2Fg%2F11jqt3jjt4?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:27:20
Shrungagiri Sri Shanmukha Swami Gudi,"https://www.google.com/maps/place/Shrungagiri+Sri+Shanmukha+Swami+Gudi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae3fa4fa7ada51:0x427f5e3c886cf1!8m2!3d12.9124567!4d77.5289414!9m1!1b1!16s%2Fg%2F11c0rrldlf?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:28:03
"St. Mary's Basilica, Bengaluru","https://www.google.com/maps/place/St.+Mary's+Basilica,+Bengaluru/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae1663d65f53f1:0xc492b89e9704c3c2!8m2!3d12.9843925!4d77.6044189!9m1!1b1!16s%2Fm%2F02x4gj1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:28:45
ISKCON temple Bangalore,"https://www.google.com/maps/place/ISKCON+Bangalore/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae3ded0b360e07:0x7a7fb24a41a6b2b3!8m2!3d13.0096643!4d77.5511344!9m1!1b1!16s%2Fm%2F0g9x5qd?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:29:30
ISKCON Vaikuntha Hill,"https://www.google.com/maps/place/ISKCON+Vaikuntha+Hill/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae3fe894bc67a9:0x32672afab6f79657!8m2!3d12.8931284!4d77.5491918!9m1!1b1!16s%2Fg%2F11b7q81mw3?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:30:10
SRI BIG BULL TEMPLE (Shri Doddabasavanna Temple),"https://www.google.com/maps/place/Sri+Doddabasavanna+Temple+(Bengaluru)/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae15cc5aead55f:0x3408320f99f27d44!8m2!3d12.9420315!4d77.5681024!9m1!1b1!16s%2Fg%2F11h19hztg?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:30:52
