City,Location
Agra,Agra Airport (Pandit Deen Dayal Upadhyay Airport)
Agra,Agra Fort Railway Station
Agra,Agra Cantt Railway Station
Agra,Idgah Bus Stand
Agra,Isbt Government Bus stand
Agra,Taj Mahal
Agra,Agra Fort
Agra,Fatehpur Sikri Fort
Agra,Itmad-ud-Daula
Agra,Tomb of Akbar
Agra,Kalakriti culture and convention centre
Agra,Chini Ka Rauza
Agra,Tomb of Mariam-UZ-Zamani
Agra,Mehtab Bagh
Agra,Aram Bagh
Agra,Paliwal Park
Agra,Elephant Conservation and Care Center
Agra,Keetham Lake (Sur Sarovar)
Agra,Taj Nature Walk
Agra,"Shri Mankameshwar Temple, Agra"
Agra,Jama Masjid Agra
Agra,Gurudwara Guru Ka Taal
Agra,Samadh Soamiji Maharaj - Soami Bagh
Amritsar,"Airport, Sri Guru Ram Dass Jee International"
Amritsar,Amritsar Junction
Amritsar,Amritsar Bus Stand
Amritsar,Golden Temple (Sri Harmandir Sahib)
Amritsar,Shri Durgiana Temple
Amritsar,Bhagwan Valmiki Ram Tirath Asthan
Amritsar,Mata Lal Devi Mandir
Amritsar,Gurudwara Chheharta Sahib
Amritsar,Gurudwara Bir Baba Budha Sahib Ji
Amritsar,Attari - Wagah Border
Amritsar,Jallianwala Bagh
Amritsar,Gobindgarh Fort
Amritsar,Pul Kanjri
Amritsar,Sadda Pind living museum
Amritsar,Maharaja Ranjit Singh Museum in Ram Bagh
Amritsar,The Partition Museum
Amritsar,Harike Wetland and Bird Sanctuary
Amritsar,Rose Garden
Ayodhya,"Airport, Maharishi Valmiki International Ayodhya Dham"
Ayodhya,Ayodhya Junction
Ayodhya,Ayodhya Dham Bus Station
Ayodhya,Ayodhya By Pass
Ayodhya,Faizabad Bus Stand
Ayodhya,AYODHYA CANTT
Ayodhya,Shree Ram Janmabhoomi Mandir
Ayodhya,Shri Hanuman Garhi Mandir
Ayodhya,Dashrath Mahal
Ayodhya,Kanak Bhawan
Ayodhya,Ram Ki Paidi
Ayodhya,Ram Katha Sangrahalay
Ayodhya,Tulasi Smarak Bhavan
Ayodhya,Shri Lakshman Kila
Ayodhya,Birla Shree Sita Ram Mandir
Ayodhya,Guptar Ghat
Bangalore,"Airport, Kempegowda International Bengaluru"
Bangalore,Krishnarajapuram Railway station
Bangalore,Mysore Road Satellite Bus Station
Bangalore,"KSRTC Bus Stand , Shanthinagara"
Bangalore,Majestic Bus Stand
Bangalore,KSR Bengaluru City Junction
Bangalore,Bengaluru Palace
Bangalore,Vidhana Soudha
Bangalore,Freedom Park (central jail park)
Bangalore,Bengaluru Fort
Bangalore,Tipu Sultan's Summer Palace
Bangalore,ISKCON temple Bangalore
Bangalore,ISKCON Vaikuntha Hill
Bangalore,Sri Banashankari Temple
Bangalore,Art of Living International Center
Bangalore,Ulsoor Gurudwara
Bangalore,"St. Mary's Basilica, Bengaluru"
Bangalore,Shri Dharmaraya Swamy Temple
Bangalore,Jamia Masjid Bengaluru City
Bangalore,Shri Doddabasavanna (SRI BIG BULL TEMPLE)
Bangalore,Cave temple Shri Gavi Gangadhareshwara Swamy Devasthana
Bangalore,Ragigudda Shri Prasanna Anjaneyaswami Temple
Bangalore,Sri Bhoga Nandishwara Gudi
Bangalore,Shree Parshwa Susheel Dhaam Shwetamber Jain Temple
Bangalore,Indian Music Experience Museum
Bangalore,HAL Heritage Centre and Aerospace Museum
Bangalore,Visvesvaraya Industrial & Technological Museum
Bangalore,Jawaharlal Nehru Planetarium
Bangalore,National Military Memorial Park
Bangalore,Rangoli Metro Art Center
Bangalore,National Gallery of Modern Art
Bangalore,Karnataka Chitrakala Parishath
Bangalore,Jollywood Studios and Adventures (Film City)
Bangalore,Janapada Loka (Karnataka Folk Museum)
Bangalore,Pyramid Valley International
Bangalore,Shrungagiri Sri Shanmukha Swami Gudi
Bangalore,Nandi Hills
Bangalore,Hebbala Lake Park
Bangalore,Sankey Tank
Bangalore,Ulsoor Lake
Bangalore,BTM Madiwala lake
Bangalore,Jaya Prakash Narayana Biodiversity Park
Bangalore,Cubbon Park
Bangalore,Lalbagh Botanical Garden
Bangalore,Bannerughatta Biological Park
Bangalore,Muthyala Maduvu Falls (Pearl Valley)
Bangalore,Shivagange
Bangalore,Dodda Aalada Mara
Bangalore,Savanadurga Trek
Bangalore,Manchanabele Dam
Bangalore,Wonderla Amusement Park
Bangalore,Phoenix Marketcity
Bangalore,Nexus Shantiniketan Mall
Bangalore,Orion Mall
Bangalore,Elements Mall
Bangalore,Mantri Square Mall
Bangalore,Gopalan Signature Mall
Bangalore,Royal Meenakshi Mall
Bangalore,Koramangala nightclub street
Bangalore,Nexus Mall Koramangala
Bangalore,Indiranagar Nightclubs street
Bangalore,Church Street
Bangalore,UB city
Bangalore,Garuda Mall
