MongoDB_Location,AppSheet_Location
"Airport, Sri Guru Ram Dass Jee International","Airport, Sri Guru Ram Dass Jee International"
Amritsar Junction,Amritsar Junction
Amritsar Bus Stand,Amritsar Bus Stand
Golden Temple (Sri Harmandir Sahib),Golden Temple (Sri Harmandir Sahib)
Shri Durgiana Temple,Shri Durgiana Temple
Bhagwan Valmiki Ram Tirath Asthan,Bhagwan Valmiki Ram Tirath Asthan
Mata Lal Devi Mandir,Mata Lal Devi Mandir
Gurudwara Chheharta Sahib,Gurudwara Chheharta Sahib
Gurudwara Bir Baba Budha Sahib Ji,Gurudwara Bir Baba Budha Sahib Ji
Attari - Wagah Border,Attari - Wagah Border
Jallianwala Bagh,Jallianwala Bagh
Gobindgarh Fort,Gobindgarh Fort
Pul Kanjri,Pul Kanjri
Sadda Pind living museum,Sadda Pind living museum
Maharaja Ranjit Singh Museum in Ram Bagh,Maharaja Ranjit Singh Museum in Ram Bagh
The Partition Museum,The Partition Museum
Harike Wetland and Bird Sanctuary,Harike Wetland and Bird Sanctuary
Rose Garden,Rose Garden
"Airport, Maharishi Valmiki International Ayodhya Dham","Airport, Maharishi Valmiki International Ayodhya Dham"
Ayodhya Junction,Ayodhya Junction
Ayodhya Dham Bus Station,Ayodhya Dham Bus Station
Ayodhya By Pass,Ayodhya By Pass
Faizabad Bus Stand,Faizabad Bus Stand
AYODHYA CANTT,AYODHYA CANTT
Shree Ram Janmabhoomi Mandir,Shree Ram Janmabhoomi Mandir
Shri Hanuman Garhi Mandir,Shri Hanuman Garhi Mandir
Dashrath Mahal,Dashrath Mahal
Kanak Bhawan,Kanak Bhawan
Ram Ki Paidi,Ram Ki Paidi
Ram Katha Sangrahalay,Ram Katha Sangrahalay
Tulasi Smarak Bhavan,Tulasi Smarak Bhavan
Shri Lakshman Kila,Shri Lakshman Kila
Birla Shree Sita Ram Mandir,Birla Shree Sita Ram Mandir
Guptar Ghat,Guptar Ghat
"Airport, Kempegowda International Bengaluru",Kempegowda International Airport Bengaluru
Krishnarajapuram Railway station,Krishnarajapuram Railway station
Mysore Road Satellite Bus Station,Mysore Road Satellite Bus Station
"KSRTC Bus Stand , Shanthinagara","KSRTC Bus Stand , Shanthinagara"
Majestic Bus Stand,Majestic Bus Stand
KSR Bengaluru City Junction,KSR Bengaluru City Junction (Bangalore)
Bengaluru Palace,Bengaluru Palace
Vidhana Soudha,Vidhana Soudha
Freedom Park (central jail park),Freedom Park
Bengaluru Fort,Bengaluru Fort
Tipu Sultan's Summer Palace,Tipu Sultan's Summer Palace
ISKCON temple Bangalore,ISKCON temple Bangalore
ISKCON Vaikuntha Hill,ISKCON Vaikuntha Hill
Sri Banashankari Temple,Sri Banashankari Temple
"St. Mary's Basilica, Bengaluru","St. Mary's Basilica, Bengaluru"
Shri Dharmaraya Swamy Temple,Shri Dharmarāya Swamy Temple
Jamia Masjid Bengaluru City,Jamia Masjid Bengaluru City
Shri Doddabasavanna (SRI BIG BULL TEMPLE),SRI BIG BULL TEMPLE (Shri Doddabasavanna Temple)
Cave temple Shri Gavi Gangadhareshwara Swamy Devasthana,Cave temple Shri Gavi Gangadhareshwara Swamy Devasthana
Ragigudda Shri Prasanna Anjaneyaswami Temple,Ragigudda Shri Prasanna Anjaneyaswami Temple
Shree Parshwa Susheel Dhaam Shwetamber Jain Temple,Shree Parshwa Susheel Dhaam Shwetamber Jain Temple
Indian Music Experience Museum,Indian Music Experience Museum
HAL Heritage Centre and Aerospace Museum,HAL Heritage Centre and Aerospace Museum
Visvesvaraya Industrial & Technological Museum,Visvesvaraya Industrial & Technological Museum
Jawaharlal Nehru Planetarium,Jawaharlal Nehru Planetarium
National Military Memorial Park,National Military Memorial Park
Rangoli Metro Art Center,Rangoli Metro Art Center
National Gallery of Modern Art,National Gallery of Modern Art
Karnataka Chitrakala Parishath,Karnataka Chitrakala Parishath
Jollywood Studios and Adventures (Film City),Jollywood Studios and Adventures (Film City)
Janapada Loka (Karnataka Folk Museum),Janapada Loka (Karnataka Folk Museum)
Pyramid Valley International,Pyramid Valley International
Shrungagiri Sri Shanmukha Swami Gudi,Shrungagiri Sri Shanmukha Swami Gudi
Nandi Hills,Nandi Hills
Hebbala Lake Park,Hebbala Lake Park
Sankey Tank,Sankey Tank
Ulsoor Lake,Ulsoor Lake
BTM Madiwala lake,BTM Madiwala lake
Jaya Prakash Narayana Biodiversity Park,Jaya Prakash Narayana Biodiversity Park
Cubbon Park,Cubbon Park
Lalbagh Botanical Garden,Lalbagh Botanical Garden
Bannerughatta Biological Park,Bannerughatta Biological Park
Muthyala Maduvu Falls (Pearl Valley),Muthyala Maduvu Falls (Pearl Valley)
Shivagange,Shivagange
Dodda Aalada Mara,Dodda Aalada Mara
Savanadurga Trek,Savanadurga Trek
Manchanabele Dam,Manchanabele Dam
Wonderla Amusement Park,Wonderla Amusement Park
Chandigarh Airport (Shaheed Bhagat Singh International),Chandigarh Airport (Shaheed Bhagat Singh International)
Chandigarh Junction railway station,Chandigarh Junction railway station
ISBT Sector-43,ISBT Sector-43
"Chandigarh Bus Terminus, Sector 17","Chandigarh Bus Terminus, Sector 17"
Sukhna Lake Chandigarh,Sukhna Lake Chandigarh
Zakir Hussain Rose Garden,Zakir Hussain Rose Garden
Rock Garden,Rock Garden
Japanese Garden,Japanese Garden
Garden of Fragrance,Garden of Fragrance
Chandigarh War Memorial park (Bougainvillea Park),Chandigarh War Memorial park (Bougainvillea Park)
Leisure Valley,Leisure Valley
Chandigarh Botanical Garden,Chandigarh Botanical Garden
Cactus Garden,Cactus Garden
Sukhna Wildlife Sanctuary,Sukhna Wildlife Sanctuary
Ghaggar River,Ghaggar River
Mahendra Chaudhary Zoological Park,Mahendra Chaudhary Zoological Park
Terraced Garden,Terraced Garden
Butterfly Park,Butterfly Park
Shanti Kunj Park,Shanti Kunj Park
Patiala Ki Rao Reserved Forest,Patiala Ki Rao Reserved Forest
Chandigarh Bird Park,Chandigarh Bird Park
"Yadavindra Gardens, Pinjore","Yadavindra Gardens, Pinjore"
Dhanas Lake,Dhanas Lake
